,Protein1,Protein2,Interacting
1116,P53847,P36118,1
1117,P36010,Q02821,1
1118,P28241,Q02821,1
1119,P15992,Q99257,1
1120,Q02821,P40465,1
1121,P38960,P22216,1
1122,Q08729,P16521,1
1123,P40567,Q08729,1
1124,Q02821,P07278,1
1125,P40554,Q02821,1
1126,P53184,Q02821,1
1127,Q02821,P37261,1
1128,P40368,Q02630,1
1129,P05373,Q02821,1
1130,Q02821,P17709,1
1131,Q02821,P32318,1
1132,Q02821,P43619,1
1133,P43577,Q02821,1
1134,Q02821,P25454,1
1135,Q02821,P40011,1
1136,P39998,Q02821,1
1137,Q02821,Q04432,1
1138,Q12306,Q02821,1
1139,Q12493,Q02821,1
1140,Q06675,Q02821,1
1141,Q02821,P38956,1
1142,Q02821,P11353,1
1143,P25659,Q02821,1
1144,Q02821,P25555,1
1145,P38276,Q02821,1
1146,P15992,Q02821,1
1147,Q02821,P38075,1
1148,P35195,Q02821,1
1149,Q02821,Q01574,1
1150,P53934,Q12339,1
1151,P32562,P53934,1
1152,P36102,P53934,1
1153,P53934,P38801,1
1154,P41896,P53934,1
1155,P53934,P49686,1
1156,P06786,Q12306,1
1157,Q07468,P12868,1
1158,Q05016,Q06339,1
1159,Q12380,Q03818,1
1160,P18851,Q03818,1
1161,Q12306,Q03818,1
1162,Q03790,Q03790,1
1163,Q03790,P49687,1
1164,P40073,Q03790,1
1165,Q04067,P40217,1
1166,Q06696,Q04272,1
1167,P47142,Q04272,1
1168,P33122,Q02630,1
1169,Q08742,Q02630,1
1170,Q02630,Q08686,1
1171,Q99314,Q02630,1
1172,Q02630,P25043,1
1173,Q12453,Q02630,1
1174,Q08465,Q02630,1
1175,Q02630,Q12517,1
1176,Q02630,Q12146,1
1177,Q12285,Q02630,1
1178,P40344,Q02630,1
1179,Q02630,P23639,1
1180,P19880,Q02630,1
1181,P32794,Q02630,1
1182,P33322,Q02630,1
1183,Q02630,P25385,1
1184,Q02630,P34078,1
1185,Q02630,P28007,1
1186,Q02630,P41903,1
1187,P40465,P23639,1
1188,P23639,P18888,1
1189,P50947,P33441,1
1190,Q03406,Q03707,1
1191,P07267,Q06208,1
1192,Q02630,P40357,1
1193,Q02630,P39958,1
1194,Q02630,Q12306,1
1195,Q02630,Q06385,1
1196,Q02630,P39001,1
1197,Q03195,Q02630,1
1198,Q02630,P21954,1
1199,Q02630,P38316,1
1200,P38304,Q02630,1
1201,P38276,Q02630,1
1202,P38272,Q02630,1
1203,P38263,Q02630,1
1204,Q02630,P07256,1
1205,P39723,Q02630,1
1206,P40056,P40202,1
1207,Q03124,P43609,1
1208,P09201,Q00582,1
1209,P53290,Q00582,1
1210,Q06672,Q03760,1
1211,P23639,P35193,1
1212,P23639,Q12107,1
1213,P21242,Q02630,1
1214,P53934,P45976,1
1215,P53507,Q06406,1
1216,P32364,Q02630,1
1217,Q04178,Q02821,1
1218,Q03532,P14904,1
1219,P38874,Q02630,1
1220,P25569,Q02630,1
1221,P32582,Q02821,1
1222,Q02821,Q04066,1
1223,Q08457,Q02630,1
1224,Q03630,Q03337,1
1225,Q06208,P07703,1
1226,P34160,Q08920,1
1227,P32366,Q04603,1
1228,P09201,P09201,1
1229,P32502,Q02336,1
1230,Q06208,Q06162,1
1231,P32366,P49435,1
1232,P40567,Q02574,1
1233,Q06208,P39744,1
1234,Q12149,Q06208,1
1235,Q06208,Q06205,1
1236,P06700,Q06208,1
1237,P42838,P32366,1
1238,Q06208,Q05905,1
1239,Q06208,Q07930,1
1240,Q06208,Q03048,1
1241,P00830,Q06208,1
1242,P32569,Q06208,1
1243,Q03406,Q06208,1
1244,Q12461,P32366,1
1245,P32366,P39107,1
1246,P32366,P22203,1
1247,P32366,P09032,1
1248,P32366,P53877,1
1249,Q03433,P32366,1
1250,P39929,P32366,1
1251,P32366,Q07923,1
1252,P46957,P32366,1
1253,P32366,P47054,1
1254,P38867,P32366,1
1255,P38827,P32366,1
1256,P35178,P32366,1
1257,P32366,Q12063,1
1258,Q06142,P50861,1
1259,Q06142,Q03818,1
1260,P19880,Q06142,1
1261,P09201,Q06142,1
1262,Q06142,P25293,1
1263,P36010,Q06142,1
1264,Q06142,P07278,1
1265,P32318,Q06142,1
1266,Q06142,P05373,1
1267,P43619,Q06142,1
1268,P05317,P02400,1
1269,P54999,Q12349,1
1270,Q06489,Q12349,1
1271,Q12349,Q03790,1
1272,Q00582,Q12349,1
1273,Q03629,Q12349,1
1274,Q12349,Q03707,1
1275,P19880,Q12349,1
1276,Q12349,P34078,1
1277,P14904,Q12349,1
1278,P31412,Q12349,1
1279,P47142,Q12349,1
1280,P40509,Q12349,1
1281,Q12349,P08525,1
1282,P20433,Q12349,1
1283,P38624,Q12349,1
1284,Q00578,Q12349,1
1285,P40185,Q12349,1
1286,Q12349,P40545,1
1287,P32527,Q12349,1
1288,P48362,Q12349,1
1289,Q12349,P40357,1
1290,Q12349,P53178,1
1291,P43615,Q12349,1
1292,Q12349,P22108,1
1293,Q12306,Q12349,1
1294,Q12349,Q06406,1
1295,P38913,Q12349,1
1296,Q12349,P38304,1
1297,P53215,P32502,1
1298,Q06549,P32502,1
1299,P14741,P32502,1
1300,P12754,P32502,1
1301,P32502,P25651,1
1302,P32502,P25659,1
1303,Q12324,Q02574,1
1304,Q02574,P07260,1
1305,Q12400,Q02574,1
1306,Q02574,Q12692,1
1307,Q02574,P49334,1
1308,Q07951,Q02574,1
1309,P36057,Q02574,1
1310,P32774,Q02574,1
1311,P15700,Q02574,1
1312,P32529,Q02574,1
1313,Q02574,P47096,1
1314,P40553,Q02574,1
1315,P40554,Q02574,1
1316,P48240,Q02574,1
1317,Q02574,P25605,1
1318,P38307,Q02574,1
1319,P32830,Q02574,1
1320,Q05871,P53112,1
1321,Q06224,Q04307,1
1322,Q06208,P32591,1
1323,Q02983,Q12349,1
1324,Q06208,P04786,1
1325,P38999,Q06208,1
1326,P53184,Q06142,1
1327,Q02574,Q07923,1
1328,P33330,Q12349,1
1329,Q12349,P22804,1
1330,Q08641,P32366,1
1331,Q06208,P10363,1
1332,P32366,P36102,1
1333,P36108,Q12349,1
1334,Q99176,Q02574,1
1335,Q12154,Q12125,1
1336,P32855,Q06245,1
1337,P52891,P49687,1
1338,P46682,P38153,1
1339,P40013,P11709,1
1340,P35193,P25368,1
1341,P17709,P17709,1
1342,Q04491,P49687,1
1343,P38968,Q04491,1
1344,P38429,Q05778,1
1345,Q04067,Q06324,1
1346,Q06263,P27344,1
1347,P38316,Q07879,1
1348,P22224,Q06245,1
1349,Q12379,Q12186,1
1350,P05738,P25385,1
1351,P42938,P31539,1
1352,P36161,P52891,1
1353,P41903,P14741,1
1354,Q02205,P53290,1
1355,P34232,Q03012,1
1356,P36118,P36068,1
1357,P53242,P36068,1
1358,P11433,P36068,1
1359,P49687,P35729,1
1360,P32861,P32861,1
1361,Q02336,P33203,1
1362,P39111,P36108,1
1363,P38555,P36108,1
1364,Q12493,P38238,1
1365,P38238,P46948,1
1366,P00447,P38238,1
1367,P23968,P38238,1
1368,P38782,P38238,1
1369,P33448,P38247,1
1370,P40348,P38251,1
1371,P20486,P33317,1
1372,Q12517,P38254,1
1373,P38262,P25644,1
1374,P25298,P38262,1
1375,P20486,P38957,1
1376,P38123,P38867,1
1377,P38123,P27796,1
1378,P07271,P38129,1
1379,P23301,P38348,1
1380,P27344,Q02336,1
1381,P27344,Q03532,1
1382,P46675,P11709,1
1383,P43609,P25632,1
1384,P25632,P40505,1
1385,P38768,P25638,1
1386,P25651,Q12017,1
1387,Q12154,Q12184,1
1388,P06242,P53124,1
1389,P40316,P52891,1
1390,P52891,P41921,1
1391,P53112,Q12334,1
1392,P53919,P33322,1
1393,P25694,P33755,1
1394,P32830,P36108,1
1395,P38348,P43132,1
1396,P25651,Q02208,1
1397,P36108,P06100,1
1398,P38339,Q05080,1
1399,Q03818,P38316,1
1400,Q12334,P25644,1
1401,P38313,P36108,1
1402,P22213,Q01590,1
1403,P36108,P43563,1
1404,P38238,P20433,1
1405,P38238,P08525,1
1406,Q12306,P38319,1
1407,P53833,P25627,1
1408,Q12250,P30771,1
1409,Q12483,P47142,1
1410,P47142,Q06696,1
1411,P25644,P39517,1
1412,P39517,P39998,1
1413,P39940,P39517,1
1414,P53919,P32495,1
1415,P38169,P35197,1
1416,P35197,P40073,1
1417,P35197,P14359,1
1418,Q02775,P50086,1
1419,Q03195,Q05775,1
1420,Q08749,P05453,1
1421,P16622,P07170,1
1422,P52917,P47128,1
1423,P53220,P32776,1
1424,P40460,P32776,1
1425,Q08601,P32776,1
1426,Q06675,Q12408,1
1427,Q06675,P07255,1
1428,Q06675,P40993,1
1429,Q06389,P28241,1
1430,P32324,P43621,1
1431,Q03338,P17157,1
1432,P20053,Q03338,1
1433,Q12517,P39998,1
1434,P38304,P32569,1
1435,P32569,P43609,1
1436,P32569,P53008,1
1437,P53254,P32569,1
1438,P30822,P32569,1
1439,P38782,P32569,1
1440,P33421,P32569,1
1441,P34078,P32569,1
1442,P32569,P33322,1
1443,P32569,Q02574,1
1444,P19880,P32569,1
1445,P32569,P49435,1
1446,P11746,P32569,1
1447,P38993,P32569,1
1448,P32569,Q04299,1
1449,P32569,Q99278,1
1450,P32569,Q03557,1
1451,P35202,P32569,1
1452,P32569,P41318,1
1453,P53833,P32569,1
1454,P53829,P32569,1
1455,P39008,P32569,1
1456,Q08278,P32569,1
1457,P32569,P28241,1
1458,Q08601,P32569,1
1459,Q01926,P32569,1
1460,P32481,Q08285,1
1461,Q07478,P40040,1
1462,P20434,P40045,1
1463,P49704,P40051,1
1464,P25651,P40065,1
1465,P24482,P40056,1
1466,P40073,P40073,1
1467,P46669,P39940,1
1468,P40080,P52917,1
1469,P21375,P09624,1
1470,P43567,Q02205,1
1471,P17695,Q12154,1
1472,P40026,Q03718,1
1473,P40567,P39958,1
1474,Q06675,P01097,1
1475,P40018,Q06675,1
1476,P32569,Q01852,1
1477,P25299,P40087,1
1478,P25359,P38633,1
1479,P37261,Q02793,1
1480,P38822,P00128,1
1481,P43609,Q06168,1
1482,P53860,P25339,1
1483,Q01852,P53008,1
1484,P05373,P05373,1
1485,P25299,P32499,1
1486,P25299,Q03790,1
1487,P33421,P27999,1
1488,Q06411,P53150,1
1489,P53040,Q07508,1
1490,P38633,Q06213,1
1491,P22855,P35193,1
1492,Q12292,P22855,1
1493,P04037,Q02793,1
1494,P53207,P33203,1
1495,P53220,Q12098,1
1496,P53044,P48836,1
1497,P40460,P53267,1
1498,Q06411,P53267,1
1499,P53267,Q12049,1
1500,P53267,Q12262,1
1501,P53267,Q12527,1
1502,P53043,P16622,1
1503,Q08601,P32893,1
1504,P38313,P53298,1
1505,P25644,P30822,1
1506,P39998,P30822,1
1507,P34078,P30822,1
1508,Q12517,P30822,1
1509,P30822,P33330,1
1510,P32566,P07703,1
1511,P38262,P50091,1
1512,P38751,Q12318,1
1513,Q12154,P08539,1
1514,P38772,P40161,1
1515,Q01574,P34162,1
1516,P34162,P38304,1
1517,P00560,P34162,1
1518,P38781,P04802,1
1519,P16622,P38786,1
1520,P38822,P25359,1
1521,Q07623,P38822,1
1522,Q05027,P53040,1
1523,P53847,P33891,1
1524,P06104,P32773,1
1525,Q12379,P27999,1
1526,P25299,Q03835,1
1527,P05743,P34162,1
1528,P38822,Q12154,1
1529,P38822,P39940,1
1530,Q12328,P38822,1
1531,P22204,Q06411,1
1532,P38074,P53299,1
1533,Q02724,P22803,1
1534,Q12025,P38822,1
1535,P25299,P41910,1
1536,P38265,P27999,1
1537,P25299,P53437,1
1538,P38291,P27999,1
1539,P27999,P38307,1
1540,P38326,P27999,1
1541,P27999,P14682,1
1542,P27999,Q12025,1
1543,P27999,P40018,1
1544,P43577,P27999,1
1545,P32588,P53040,1
1546,P32505,P32505,1
1547,P28007,P32505,1
1548,P32588,P32505,1
1549,P11433,P38633,1
1550,P34217,P38633,1
1551,P38633,P38304,1
1552,P25623,P38633,1
1553,P38913,P38633,1
1554,Q12250,P38633,1
1555,P38633,P52490,1
1556,P38633,P47822,1
1557,P38633,Q12306,1
1558,P32626,P38633,1
1559,P38633,P32613,1
1560,P32569,P38633,1
1561,P53112,P38633,1
1562,P38633,P38782,1
1563,P40537,P38633,1
1564,P38633,P21691,1
1565,Q06168,P38633,1
1566,P38633,Q02486,1
1567,P38633,P33308,1
1568,P38633,Q08278,1
1569,Q12343,P38633,1
1570,P43563,P27999,1
1571,P06100,P38633,1
1572,P37296,P38633,1
1573,P38822,Q12461,1
1574,P33334,P32639,1
1575,P32628,Q02890,1
1576,P32916,P06787,1
1577,P08536,P08536,1
1578,P06787,P18962,1
1579,P09624,P38822,1
1580,P53193,P38822,1
1581,P14120,P38822,1
1582,P38822,P53184,1
1583,P40107,P38822,1
1584,P38822,P40554,1
1585,P40465,P38822,1
1586,P38822,P47075,1
1587,P38822,P23639,1
1588,P53934,P38822,1
1589,P38822,P40344,1
1590,P38822,P35193,1
1591,P38822,P20436,1
1592,Q12017,P38822,1
1593,P38884,P36124,1
1594,P38698,Q12004,1
1595,Q00916,P38074,1
1596,P53919,P40486,1
1597,P40482,P15303,1
1598,P00724,Q12154,1
1599,P38998,P53112,1
1600,P47054,Q05080,1
1601,Q03790,P47054,1
1602,P11986,Q12154,1
1603,P40359,Q03406,1
1604,Q06411,P40955,1
1605,P06700,P53628,1
1606,P06700,P06700,1
1607,P04387,P04387,1
1608,P04386,P29055,1
1609,P25389,P32457,1
1610,P25342,P25389,1
1611,P32458,P25389,1
1612,P25293,Q12163,1
1613,Q03759,P47096,1
1614,P46973,Q08932,1
1615,P32529,P32602,1
1616,P47128,P38922,1
1617,Q00684,P06700,1
1618,P21691,P11978,1
1619,P39682,P33334,1
1620,P32639,Q02775,1
1621,P24384,Q02775,1
1622,P33203,Q12186,1
1623,P21374,P21374,1
1624,P39968,Q06628,1
1625,P22804,P38182,1
1626,P38862,P38862,1
1627,P47074,P26449,1
1628,Q05080,P41832,1
1629,P38261,Q00916,1
1630,P06787,P43588,1
1631,P06787,P32318,1
1632,P06787,P16370,1
1633,P36121,P06787,1
1634,P36068,P38272,1
1635,P32458,Q12216,1
1636,Q12405,P32458,1
1637,P22224,P11433,1
1638,P11433,Q03497,1
1639,Q06835,P38822,1
1640,P32529,P38324,1
1641,P21951,Q04603,1
1642,P53894,P40484,1
1643,P15938,P32639,1
1644,P04386,P53040,1
1645,P15807,P06787,1
1646,P16649,P53973,1
1647,P32639,Q12420,1
1648,P32524,P38822,1
1649,P32379,P06787,1
1650,Q12415,P38825,1
1651,P16522,Q02336,1
1652,P16522,P08638,1
1653,P40454,Q08215,1
1654,Q00916,P33334,1
1655,P36421,P32566,1
1656,Q00578,Q02939,1
1657,P23202,P32600,1
1658,P25604,Q99176,1
1659,Q06168,P32597,1
1660,P46948,Q08491,1
1661,P17555,P32790,1
1662,Q03290,P06839,1
1663,Q00578,Q12004,1
1664,P38265,P38907,1
1665,P48581,P48581,1
1666,Q12018,P14682,1
1667,P32628,P40087,1
1668,P32628,P32628,1
1669,P53150,Q08387,1
1670,P28519,P32628,1
1671,P32628,P32776,1
1672,P32628,Q00578,1
1673,P17157,P37366,1
1674,P87108,O74700,1
1675,P18239,O74700,1
1676,P02557,P48606,1
1677,P32897,P00175,1
1678,P38251,P32641,1
1679,P32641,P40348,1
1680,P40541,P32908,1
1681,P40541,P47037,1
1682,Q03784,P36149,1
1683,P36149,Q99394,1
1684,Q04338,Q03322,1
1685,Q01590,Q04338,1
1686,Q03322,P31109,1
1687,Q04338,Q12241,1
1688,P48415,P38968,1
1689,P38968,P15303,1
1690,P40482,P38968,1
1691,Q06632,P42841,1
1692,P42841,Q06224,1
1693,P42841,P29468,1
1694,P45976,P42841,1
1695,P42841,Q06102,1
1696,P25298,P42841,1
1697,P49686,P34216,1
1698,P46673,P49686,1
1699,P49686,P49687,1
1700,P49686,P36161,1
1701,P35729,P49686,1
1702,P49686,P32499,1
1703,P49686,Q06142,1
1704,P49686,P04147,1
1705,P32505,P49686,1
1706,P49686,P15303,1
1707,P02994,P49686,1
1708,Q02630,P31539,1
1709,P32767,Q02630,1
1710,Q02630,Q99383,1
1711,P32324,P32499,1
1712,Q06142,P32499,1
1713,P20676,P32324,1
1714,P47017,Q12517,1
1715,Q12517,P57743,1
1716,Q12517,P40089,1
1717,Q12517,Q06406,1
1718,Q12517,P53905,1
1719,Q02630,P36161,1
1720,Q02630,P30822,1
1721,Q02630,Q02932,1
1722,Q02630,P32499,1
1723,P52891,Q02630,1
1724,Q02630,P04147,1
1725,Q02630,Q02821,1
1726,Q02630,P15303,1
1727,P32499,P04147,1
1728,P20676,P04147,1
1729,P38261,P89102,1
1730,Q06245,P38261,1
1731,P13393,P29055,1
1732,P52490,P53152,1
1733,P32849,P52490,1
1734,P32458,P32457,1
1735,P39968,P38881,1
1736,P32639,P57743,1
1737,P57743,P36048,1
1738,P57743,P49704,1
1739,P57743,Q03338,1
1740,P20053,P57743,1
1741,P49960,P57743,1
1742,P40018,P57743,1
1743,P40070,P57743,1
1744,P32639,P47093,1
1745,P47093,P36048,1
1746,P47093,P19735,1
1747,Q12420,P47093,1
1748,P49704,P47093,1
1749,P47093,Q03338,1
1750,P47093,P43321,1
1751,P02829,P33313,1
1752,Q01454,P13382,1
1753,Q08491,Q02793,1
1754,Q12328,P47045,1
1755,P87108,P47045,1
1756,Q08749,P47045,1
1757,P32602,Q01590,1
1758,P47017,P53905,1
1759,Q08491,P38792,1
1760,P41832,P02994,1
1761,P47821,P17157,1
1762,Q03322,P32602,1
1763,P52891,P49686,1
1764,P32855,P38261,1
1765,P25604,Q02767,1
1766,P57743,P33334,1
1767,P13382,P32558,1
1768,P32849,P32849,1
1769,P32458,P25342,1
1770,Q12446,P36006,1
1771,Q12158,P40541,1
1772,P40541,Q04002,1
1773,Q04002,Q12158,1
1774,Q12158,P32908,1
1775,Q12158,P47037,1
1776,Q04002,P40090,1
1777,P46673,Q02630,1
1778,P21827,P40517,1
1779,P32457,P25342,1
1780,P47093,P33334,1
1781,P47093,P53905,1
1782,P22804,Q01590,1
1783,P32602,Q04338,1
1784,P47103,P33313,1
1785,P32495,P28007,1
1786,P28007,Q6Q547,1
1787,P10363,P13382,1
1788,Q04636,P13382,1
1789,Q04636,P32558,1
1790,P40202,P40202,1
1791,P38132,P24279,1
1792,P29496,P38132,1
1793,P23644,P49334,1
1794,P32562,Q12158,1
1795,P22216,P32447,1
1796,Q06639,P38781,1
1797,Q00684,Q00684,1
1798,P04386,P32569,1
1799,P49956,P38877,1
1800,P40339,P38877,1
1801,P25559,P38877,1
1802,P40348,P38877,1
1803,P38877,P38629,1
1804,P38251,P38877,1
1805,P48415,P15303,1
1806,P07276,P32776,1
1807,Q00578,P07276,1
1808,P19524,P53141,1
1809,P22204,P31384,1
1810,P39008,P22204,1
1811,P13393,P53067,1
1812,P35207,Q08491,1
1813,P38111,Q04377,1
1814,P40202,P00445,1
1815,P40482,P48415,1
1816,P20449,Q04839,1
1817,Q12241,P32602,1
1818,P31384,P38931,1
1819,P06100,P31384,1
1820,Q04338,P32912,1
1821,P31384,P34909,1
1822,Q08749,P32830,1
1823,P47045,P32830,1
1824,P52488,Q12306,1
1825,Q07688,Q07084,1
1826,P39928,Q07688,1
1827,P39928,P39928,1
1828,Q12038,P40357,1
1829,Q12255,P38182,1
1830,Q12241,P38182,1
1831,P36057,P32916,1
1832,Q04839,P49686,1
1833,P38806,P38811,1
1834,Q08649,P38806,1
1835,P43572,Q08649,1
1836,P80428,Q08649,1
1837,P80428,P38811,1
1838,P43572,P80428,1
1839,Q08649,P38811,1
1840,Q08649,Q12432,1
1841,Q12432,P38811,1
1842,Q02208,P04786,1
1843,P43609,P32597,1
1844,P38784,P32341,1
1845,Q12241,P20795,1
1846,Q12241,P27801,1
1847,Q12255,Q04338,1
1848,Q12017,P18851,1
1849,P36015,Q01590,1
1850,P34244,P53197,1
1851,P32259,P04050,1
1852,Q9URQ3,P47058,1
1853,P39723,P38863,1
1854,P53540,P39723,1
1855,P39723,P11927,1
1856,P46957,P15436,1
1857,P32912,Q12255,1
1858,P53632,P32908,1
1859,P38989,P53632,1
1860,P13382,P32797,1
1861,P41814,P06103,1
1862,P50875,P06844,1
1863,P33338,P38249,1
1864,Q12255,P32602,1
1865,P47821,P39073,1
1866,P36130,P31384,1
1867,P25655,P36130,1
1868,P22204,P36130,1
1869,P38931,P39008,1
1870,P38931,P06100,1
1871,P38931,P36130,1
1872,P39073,P22204,1
1873,P39073,P25655,1
1874,P06100,P39073,1
1875,P39073,P36130,1
1876,P39073,P06782,1
1877,P47821,P06782,1
1878,P06782,P32259,1
1879,P43601,P25591,1
1880,P14736,P43601,1
1881,Q12030,P35177,1
1882,P11938,Q12030,1
1883,P24384,Q12030,1
1884,Q12030,Q08685,1
1885,Q12030,P33203,1
1886,P39008,P25655,1
1887,P06100,P34909,1
1888,Q12514,P06100,1
1889,P31384,Q12514,1
1890,P22138,P10964,1
1891,P13393,P06100,1
1892,Q12514,P13393,1
1893,Q12514,P38129,1
1894,Q12514,Q03761,1
1895,P39685,P52593,1
1896,P04386,P04386,1
1897,P50623,P40969,1
1898,P40969,P40969,1
1899,P32569,P32585,1
1900,P39073,P32585,1
1901,P32585,P47821,1
1902,P38249,P40217,1
1903,Q04067,P38249,1
1904,P38249,Q05775,1
1905,Q05775,P06103,1
1906,Q05775,Q04067,1
1907,P38431,Q05775,1
1908,P38431,P38249,1
1909,P32911,P38249,1
1910,Q05775,P32911,1
1911,Q02821,Q06142,1
1912,P21827,P32499,1
1913,P20676,P21827,1
1914,P38956,Q12250,1
1915,Q04062,P32911,1
1916,Q08723,P32496,1
1917,Q07478,P40302,1
1918,P23638,P23639,1
1919,P30656,P25451,1
1920,P43609,P22082,1
1921,P35177,P50875,1
1922,P31384,P39073,1
1923,P34909,P39008,1
1924,Q03630,P36149,1
1925,P17157,P20052,1
1926,P22082,P18480,1
1927,P31384,P25655,1
1928,Q12255,Q12241,1
1929,P32602,P36015,1
1930,P43609,P43609,1
1931,P39073,P38931,1
1932,P50875,P13393,1
1933,P38249,P06103,1
1934,P39073,P32569,1
1935,P25655,P47821,1
1936,P47821,P06100,1
1937,P31384,P47821,1
1938,P38931,P25655,1
1939,Q12030,P39001,1
1940,P38822,P14359,1
1941,P80667,P39929,1
1942,Q12250,Q12377,1
1943,Q12250,Q08723,1
1944,P38316,P43588,1
1945,Q12446,Q12446,1
1946,P38261,P33334,1
1947,Q12151,P33334,1
1948,P17629,P53552,1
1949,P53552,P33441,1
1950,O13539,P53552,1
1951,P17629,P33441,1
1952,P35845,P80667,1
1953,P36037,P38753,1
1954,Q12216,P47068,1
1955,P53044,P47068,1
1956,P36006,P38822,1
1957,P47068,Q05080,1
1958,Q05080,Q12446,1
1959,P38339,Q12446,1
1960,P36006,P47068,1
1961,P36006,P41832,1
1962,P32457,P40073,1
1963,P40073,P53552,1
1964,P40073,Q12446,1
1965,P25385,P32790,1
1966,Q01532,P38753,1
1967,P38753,P38351,1
1968,P38753,P25604,1
1969,Q08491,P38753,1
1970,Q12250,Q04062,1
1971,P43588,Q12250,1
1972,Q08723,Q04062,1
1973,P43588,Q04062,1
1974,Q99314,P32447,1
1975,P25694,P53044,1
1976,P33339,P46678,1
1977,P43621,P53847,1
1978,P25655,P53829,1
1979,P32496,P40016,1
1980,Q12514,P53829,1
1981,P53829,P34909,1
1982,P53829,P39008,1
1983,P06100,P53829,1
1984,P22204,P53829,1
1985,P38931,P53829,1
1986,P15891,P16649,1
1987,P15891,P32793,1
1988,P30822,P38316,1
1989,P32767,P38316,1
1990,P38316,P16861,1
1991,P38316,P38698,1
1992,P38764,P38316,1
1993,P38316,Q12250,1
1994,Q12377,P38316,1
1995,Q06103,P38316,1
1996,P38011,Q08444,1
1997,P40340,P32873,1
1998,Q12449,P38316,1
1999,P38316,P46655,1
2000,P31373,Q12380,1
2001,P38993,Q12380,1
2002,Q08951,P38153,1
2003,P09547,P38153,1
2004,P22336,P38011,1
2005,P53974,P15891,1
2006,P47068,Q04195,1
2007,P40073,P38753,1
2008,P39940,Q12446,1
2009,Q08446,P80667,1
2010,P32793,Q12446,1
2011,Q12446,P47068,1
2012,P38822,Q12446,1
2013,P25046,P36006,1
2014,Q05080,P40073,1
2015,P31384,P53829,1
2016,P38316,P32481,1
2017,P38316,P40016,1
2018,P07248,P40073,1
2019,P38822,P25385,1
2020,P40073,P46674,1
2021,P14359,P32793,1
2022,Q12527,P38316,1
2023,P38316,P38993,1
2024,P18759,P38316,1
2025,Q02804,P36040,1
2026,P38316,P46672,1
2027,P12962,P25293,1
2028,P38788,Q00684,1
2029,P16522,Q12379,1
2030,P32908,P32562,1
2031,P47037,P32562,1
2032,P38077,P53622,1
2033,P15303,P53323,1
2034,P15790,P36080,1
2035,Q02908,P42935,1
2036,P53323,P30822,1
2037,Q03835,P53323,1
2038,P53323,P38764,1
2039,Q12250,P53323,1
2040,P53323,Q12377,1
2041,P53323,P18759,1
2042,P47122,P53323,1
2043,P53323,Q03705,1
2044,P53323,Q05016,1
2045,Q05785,P36130,1
2046,Q02821,P33322,1
2047,P33322,P40486,1
2048,P43563,P53894,1
2049,P40509,P53894,1
2050,P53894,Q12118,1
2051,P25294,P53894,1
2052,P53894,P24276,1
2053,P32366,P53894,1
2054,P32582,P31384,1
2055,P15705,P31384,1
2056,P25342,P09624,1
2057,P17967,P32458,1
2058,P38764,P32458,1
2059,P32458,P39935,1
2060,P32458,P06786,1
2061,P07170,Q00684,1
2062,P38077,Q00684,1
2063,P09457,Q00684,1
2064,Q00684,P30902,1
2065,P12904,Q00684,1
2066,P23542,P32457,1
2067,P32457,P16120,1
2068,P36041,P07260,1
2069,P12904,P07260,1
2070,P07260,Q12449,1
2071,P32562,P40541,1
2072,P32562,Q06142,1
2073,Q02821,P32562,1
2074,Q04660,P15790,1
2075,P15790,Q03532,1
2076,P02309,P15790,1
2077,P06243,P53114,1
2078,P28000,P06243,1
2079,P20606,P06243,1
2080,P06243,P41811,1
2081,P15705,P06243,1
2082,P04819,P15873,1
2083,P25293,P53197,1
2084,P15790,P07278,1
2085,P15790,P24783,1
2086,P17967,P15790,1
2087,Q04636,P15790,1
2088,P15790,Q05022,1
2089,P15790,P32558,1
2090,P15790,P38789,1
2091,P39935,P15790,1
2092,P15790,Q12522,1
2093,P15790,P53254,1
2094,Q03048,P06787,1
2095,P09436,P06787,1
2096,P51534,P06787,1
2097,P40509,P53622,1
2098,P20486,P23301,1
2099,P06787,P23301,1
2100,P06787,P53141,1
2101,P06787,P36006,1
2102,P06787,P38272,1
2103,P06787,P00445,1
2104,P06787,P22515,1
2105,P36010,P06787,1
2106,Q03048,P53067,1
2107,Q03048,P17555,1
2108,P07248,P53622,1
2109,P43621,P53622,1
2110,P53622,P41811,1
2111,P07260,P33308,1
2112,P11076,P35203,1
2113,Q01560,Q03957,1
2114,P22204,Q12250,1
2115,P41811,P22204,1
2116,P22204,P17255,1
2117,P47122,P22204,1
2118,P40339,Q08949,1
2119,P39009,P07260,1
2120,P38075,P39009,1
2121,P39009,P00445,1
2122,P22203,P39009,1
2123,Q12449,P39009,1
2124,P43567,P39009,1
2125,P31384,P19812,1
2126,P46672,P25342,1
2127,P15790,P21951,1
2128,P16522,P23301,1
2129,Q03957,P38922,1
2130,P38077,P36130,1
2131,P06738,P22204,1
2132,Q05016,P39009,1
2133,Q03957,P25555,1
2134,Q12159,P15790,1
2135,P32562,P39723,1
2136,P06787,P34216,1
2137,Q03957,P02309,1
2138,P46963,P22515,1
2139,P25554,Q03330,1
2140,P07256,P29295,1
2141,Q12230,P29295,1
2142,P16649,P12754,1
2143,P09032,P32481,1
2144,Q04660,Q00684,1
2145,Q03532,Q04660,1
